name,modifier,head,freq_class
east side,east,side,14.0
kingdom come,kingdom,come,14.0
nightcap,night,cap,14.0
quack-quack,quack,quack,14.0
landscape,lands,cape,14.0
cupboard,cup,board,14.0
phone booth,phone,booth,14.0
goldfish,gold,fish,14.0
junkyard,junk,yard,14.0
tom-tom,tom,tom,14.0
waiting room,waiting,room,14.0
ancient history,ancient,history,14.0
first half,first,half,14.0
battlefield,battle,field,14.0
airfield,air,field,14.0
roller coaster,roller,coaster,14.0
first degree,first,degree,14.0
forty-five,forty,five,14.0
first base,first,base,14.0
baseball bat,baseball,bat,14.0
north side,north,side,14.0
frying pan,frying,pan,14.0
bounty hunter,bounty,hunter,14.0
head start,head,start,14.0
lieutenant colonel,lieutenant,colonel,14.0
grapefruit,grape,fruit,14.0
night shift,night,shift,14.0
cash register,cash,register,14.0
small talk,small,talk,14.0
public school,public,school,14.0
twenty-three,twenty,three,14.0
red tape,red,tape,14.0
seafood,sea,food,14.0
blindfold,blind,fold,14.0
dragonfly,dragon,fly,14.0
no-show,no,show,14.0
mainframe,main,frame,14.0
main street,main,street,14.0
wonderland,wonder,land,14.0
police work,police,work,14.0
phone company,phone,company,14.0
family business,family,business,14.0
box office,box,office,14.0
cold war,cold,war,14.0
paramedic,para,medic,14.0
watermelon,water,melon,14.0
dropout,drop,out,14.0
time machine,time,machine,14.0
safe house,safe,house,14.0
poor people,poor,people,14.0
fingerprint,finger,print,14.0
telephone number,telephone,number,14.0
human nature,human,nature,14.0
red alert,red,alert,14.0
manpower,man,power,14.0
firepower,fire,power,14.0
family name,family,name,14.0
wise man,wise,man,14.0
goldmine,gold,mine,14.0
fire department,fire,department,14.0
hideout,hide,out,14.0
dinnertime,dinner,time,14.0
earring,ear,ring,14.0
bar mitzvah,bar,mitzvah,14.0
birthmark,birth,mark,14.0
role model,role,model,14.0
heart rate,heart,rate,14.0
engine room,engine,room,14.0
married woman,married,woman,14.0
battleship,battle,ship,14.0
stakeout,stake,out,14.0
train station,train,station,14.0
headmaster,head,master,14.0
birth certificate,birth,certificate,14.0
racetrack,race,track,14.0
wipeout,wipe,out,14.0
back room,back,room,14.0
fundraiser,fund,raiser,14.0
checkmate,check,mate,14.0
nighttime,night,time,14.0
landscape,land,scape,14.0
food chain,food,chain,14.0
gunpowder,gun,powder,14.0
marketplace,market,place,14.0
handoff,hand,off,14.0
knockoff,knock,off,14.0
eye contact,eye,contact,14.0
green card,green,card,14.0
sweatshirt,sweat,shirt,14.0
horseshit,horse,shit,14.0
pinpoint,pin,point,14.0
checkpoint,check,point,14.0
workplace,work,place,14.0
spare time,spare,time,14.0
chickenshit,chicken,shit,14.0
putoff,put,off,14.0
birth control,birth,control,14.0
green light,green,light,14.0
job interview,job,interview,14.0
kickoff,kick,off,14.0
boy scout,boy,scout,14.0
screenplay,screen,play,14.0
drive-in,drive,in,14.0
foul play,foul,play,14.0
black market,black,market,14.0
tombstone,tombs,tone,14.0
godmother,god,mother,14.0
teddy bear,teddy,bear,14.0
gift shop,gift,shop,14.0
black magic,black,magic,14.0
self-respect,self,respect,14.0
cease-fire,cease,fire,14.0
cartwright,cart,wright,14.0
blowout,blow,out,14.0
workshop,work,shop,14.0
twenty-two,twenty,two,14.0
old-timer,old,timer,14.0
stock market,stock,market,14.0
machine gun,machine,gun,14.0
barbershop,barber,shop,14.0
basketball game,basketball,game,14.0
airspace,airs,pace,14.0
redneck,red,neck,14.0
blood test,blood,test,14.0
funeral home,funeral,home,14.0
pull-in,pull,in,14.0
starship,star,ship,14.0
pay-phone,pay,phone,14.0
whorehouse,who,rehouse,14.0
bathrobe,bath,robe,14.0
basketball team,basketball,team,14.0
social worker,social,worker,14.0
twenty-one,twenty,one,14.0
sandman,sand,man,14.0
leftover,left,over,14.0
teamwork,team,work,14.0
weatherman,weather,man,14.0
crossword,cross,word,14.0
living thing,living,thing,14.0
quantum physics,quantum,physics,14.0
telephone call,telephone,call,14.0
hit man,hit,man,14.0
gunman,gun,man,14.0
washroom,wash,room,14.0
lunchtime,lunch,time,14.0
football game,football,game,14.0
nerve gas,nerve,gas,14.0
punch line,punch,line,14.0
restroom,rest,room,14.0
wholesale,whole,sale,14.0
first lady,first,lady,14.0
fireman,fire,man,14.0
spring break,spring,break,14.0
handshake,hand,shake,14.0
babysitting,babysit,ting,14.0
overrun,over,run,14.0
wedding night,wedding,night,14.0
life support,life,support,14.0
cocktail party,cocktail,party,14.0
mailman,mail,man,14.0
bloodshed,blood,shed,14.0
guestroom,guest,room,14.0
one thousand,one,thousand,14.0
boarding school,boarding,school,14.0
private detective,private,detective,14.0
sleepover,sleep,over,14.0
ballpark,ball,park,14.0
rich people,rich,people,14.0
postman,post,man,14.0
summer camp,summer,camp,14.0
giving birth,giving,birth,14.0
radio station,radio,station,14.0
makeover,make,over,14.0
search warrant,search,warrant,14.0
storeroom,store,room,14.0
alarm clock,alarm,clock,14.0
second half,second,half,14.0
video game,video,game,14.0
walkover,walk,over,14.0
tryout,try,out,14.0
field trip,field,trip,14.0
caveman,cave,man,14.0
cameraman,camera,man,14.0
barnyard,barn,yard,15.0
heartache,heart,ache,15.0
flying saucer,flying,saucer,15.0
square one,square,one,15.0
running back,running,back,15.0
squad car,squad,car,15.0
sixth sense,sixth,sense,15.0
safe sex,safe,sex,15.0
guinea pig,guinea,pig,15.0
