compound,modifier,head,frequency_class
Abschlusszeugnis,Abschluss,Zeugnis,14.0
Abschlussübung,Abschluss,Übung,19.0
Abschnittsüberschrift,Abschnitt,Überschrift,
Abschottungspolitik,Abschottung,Politik,17.0
Abschreckungseffekt,Abschreckung,Effekt,19.0
Abschreckungsmaßnahme,Abschreckung,Maßnahme,
Abschreckungsmittel,Abschreckung,Mittel,
Abschreckungspolitik,Abschreckung,Politik,
Abschreckungswirkung,Abschreckung,Wirkung,19.0
Abschreibungsmethode,Abschreibung,Methode,
Abschreibungsmöglichkeit,Abschreibung,Möglichkeit,19.0
Abschreibungssatz,Abschreibung,Satz,17.0
Abschreibungszeitraum,Abschreibung,Zeitraum,19.0
Abschussanlage,Abschuss,Anlage,
Abschussliste,Abschuss,Liste,18.0
Abschussplan,Abschuss,Plan,19.0
Abschussrampe,Abschuss,Rampe,
Abschussvorrichtung,Abschuss,Vorrichtung,
Abschusszahl,Abschuss,Zahl,
Abseite,ab,Seite,19.0
Abseitsentscheidung,Abseits,Entscheidung,
Abseitsfalle,Abseits,Falle,
Abseitspfiff,Abseits,Pfiff,
Abseitsposition,Abseits,Position,18.0
Abseitsregel,Abseits,Regel,
Abseitsstellung,Abseits,Stellung,18.0
Abseitstor,Abseits,Tor,
Absenderadresse,Absender,Adresse,15.0
Absenderangabe,Absender,Angabe,19.0
Absetzbecken,absetzen,Becken,19.0
Absetzbewegung,absetzen,Bewegung,
Absicherungsgeschäft,Absicherung,Geschäft,
Absicherungsmaßnahme,Absicherung,Maßnahme,
Absichtserklärung,Absicht,Erklärung,15.0
Absolutbetrag,absolut,Betrag,
Absolutheitsanspruch,Absolutheit,Anspruch,
Absolventenzahl,Absolvent,Zahl,
Absonderungsrecht,Absonderung,Recht,
Absorptionsfähigkeit,Absorption,Fähigkeit,
Absorptionsgrad,Absorption,Grad,19.0
Absorptionskoeffizient,Absorption,Koeffizient,
Absorptionslinie,Absorption,Linie,
Absorptionsmaximum,Absorption,Maximum,19.0
Absorptionsspektrum,Absorption,Spektrum,19.0
Absorptionsvermögen,Absorption,Vermögen,
Abspann,ab,Spann,17.0
Abspannmast,abspannen,Mast,
Abspannseil,abspannen,Seil,
Absperrband,absperren,Band,17.0
Absperrbauwerk,absperren,Bauwerk,17.0
Absperrgitter,absperren,Gitter,17.0
Absperrhahn,absperren,Hahn,
Absperrkette,absperren,Kette,
Absperrmaßnahme,absperren,Maßnahme,
Absperrschieber,absperren,Schieber,19.0
Absperrventil,absperren,Ventil,
Absperrvorrichtung,absperren,Vorrichtung,
Absperrzaun,absperren,Zaun,
Abspielfehler,Abspiel,Fehler,
Abspielgerät,abspielen,Gerät,16.0
Abspielmöglichkeit,Abspiel,Möglichkeit,19.0
Abspielprogramm,abspielen,Programm,19.0
Absprunghöhe,Absprung,Höhe,18.0
Absprungstelle,Absprung,Stelle,
Abstammungsgemeinschaft,Abstammung,Gemeinschaft,
Abstammungslehre,Abstammung,Lehre,
Abstammungslinie,Abstammung,Linie,
Abstammungsnachweis,Abstammung,Nachweis,
Abstammungsrecht,Abstammung,Recht,19.0
Abstammungstafel,Abstammung,Tafel,
Abstammungsurkunde,Abstammung,Urkunde,
Abstammungsverhältnis,Abstammung,Verhältnis,
Abstandhalter,Abstand,Halter,19.0
Abstandsfläche,Abstand,Fläche,17.0
Abstandsgebot,Abstand,Gebot,13.0
Abstandsregel,Abstand,Regel,15.0
Abstandssumme,Abstand,Summe,
Abstandszahlung,Abstand,Zahlung,17.0
Abstaubertor,Abstauber,Tor,
Abstellanlage,abstellen,Anlage,
Abstellbahnhof,abstellen,Bahnhof,
Abstellfläche,abstellen,Fläche,18.0
Abstellgleis,abstellen,Gleis,18.0
Abstellkammer,abstellen,Kammer,18.0
Abstellmöglichkeit,abstellen,Möglichkeit,18.0
Abstellplatz,abstellen,Platz,17.0
Abstellposition,abstellen,Position,
Abstellraum,abstellen,Raum,15.0
Abstellverschlag,abstellen,Verschlag,
Abstiegsangst,Abstieg,Angst,
Abstiegsduell,Abstieg,Duell,
Abstiegsgefahr,Abstieg,Gefahr,
Abstiegsgespenst,Abstieg,Gespenst,
Abstiegsjahr,Abstieg,Jahr,
Abstiegskampf,Abstieg,Kampf,16.0
Abstiegskandidat,Abstieg,Kandidat,
Abstiegskonkurrent,Abstieg,Konkurrent,
Abstiegsplatz,Abstieg,Platz,
Abstiegsrang,Abstieg,Rang,19.0
Abstiegsregelung,Abstieg,Regelung,
Abstiegsrunde,Abstieg,Runde,
Abstiegssaison,Abstieg,Saison,19.0
Abstiegssorgen,Abstieg,Sorgen,
Abstiegszone,Abstieg,Zone,
Abstimmungsbedarf,Abstimmung,Bedarf,18.0
Abstimmungsergebnis,Abstimmung,Ergebnis,19.0
Abstimmungsfehler,Abstimmung,Fehler,19.0
Abstimmungsgebiet,Abstimmung,Gebiet,19.0
Abstimmungsgespräch,Abstimmung,Gespräch,
Abstimmungskampagne,Abstimmung,Kampagne,
Abstimmungskampf,Abstimmung,Kampf,
Abstimmungsmodus,Abstimmung,Modus,19.0
Abstimmungsniederlage,Abstimmung,Niederlage,
Abstimmungsphase,Abstimmung,Phase,17.0
Abstimmungsproblem,Abstimmung,Problem,
Abstimmungsprozess,Abstimmung,Prozess,18.0
Abstimmungsregel,Abstimmung,Regel,
Abstimmungsresultat,Abstimmung,Resultat,
Abstimmungsrunde,Abstimmung,Runde,18.0
Abstimmungsschwierigkeit,Abstimmung,Schwierigkeit,
Abstimmungstag,Abstimmung,Tag,18.0
Abstimmungstermin,Abstimmung,Termin,
Abstimmungsverfahren,Abstimmung,Verfahren,16.0
Abstimmungsverhalten,Abstimmung,Verhalten,14.0
Abstimmungszeitraum,Abstimmung,Zeitraum,19.0
Abstimmungszone,Abstimmung,Zone,
Abstinenzbewegung,Abstinenz,Bewegung,
Abstoßungsreaktion,Abstoßung,Reaktion,18.0
Abstraktionsebene,Abstraktion,Ebene,
Abstraktionsfähigkeit,Abstraktion,Fähigkeit,18.0
Abstraktionsgrad,Abstraktion,Grad,19.0
Abstraktionsniveau,Abstraktion,Niveau,19.0
Abstraktionsstufe,Abstraktion,Stufe,
Abstraktionsvermögen,Abstraktion,Vermögen,17.0
Abstreichgitter,abstreichen,Gitter,
Abstrichzentrum,Abstrich,Zentrum,
Absturzgebiet,Absturz,Gebiet,
Absturzgefahr,Absturz,Gefahr,19.0
Absturzort,Absturz,Ort,
Absturzsicherung,Absturz,Sicherung,17.0
Absturzstelle,Absturz,Stelle,19.0
Absturzursache,Absturz,Ursache,
Abstützvorrichtung,abstützen,Vorrichtung,
Abszissenachse,Abszisse,Achse,
Abtastfrequenz,abtasten,Frequenz,
Abtastrate,abtasten,Rate,19.0
Abtastwert,abtasten,Wert,
Abteigebäude,Abtei,Gebäude,
Abteikirche,Abtei,Kirche,15.0
Abteilungschef,Abteilung,Chef,
Abteilungsdirektor,Abteilung,Direktor,18.0
Abteilungsleiter,Abteilung,Leiter,13.0
Abteilungsleiterebene,Abteilungsleiter,Ebene,19.0
Abteilungsleitung,Abteilung,Leitung,15.0
Abteilungspräsident,Abteilung,Präsident,
Abteilungsversammlung,Abteilung,Versammlung,19.0
Abteilungsvorstand,Abteilung,Vorstand,
Abteilwagen,Abteil,Wagen,
Abtreibungsbefürworter,Abtreibung,Befürworter,
Abtreibungsfrage,Abtreibung,Frage,
Abtreibungsgegner,Abtreibung,Gegner,
Abtreibungsgesetz,Abtreibung,Gesetz,19.0
Abtreibungsklinik,Abtreibung,Klinik,
Abtreibungspille,Abtreibung,Pille,19.0
Abtreibungsrecht,Abtreibung,Recht,
Abtreibungsverbot,Abtreibung,Verbot,
Abtreibungszahlen,Abtreibung,Zahlen,19.0
Abtretungsvertrag,Abtretung,Vertrag,
Abtropfgewicht,abtropfen,Gewicht,18.0
Abtropfsieb,abtropfen,Sieb,
Abtsstab,Abt,Stab,
Abtswahl,Abt,Wahl,
Abwahlantrag,Abwahl,Antrag,
Abwanderungsgedanke,Abwanderung,Gedanke,
Abwanderungstendenz,Abwanderung,Tendenz,
Abwanderungswelle,Abwanderung,Welle,
Abwaschbecken,Abwasch,Becken,
Abwaschwasser,Abwasch,Wasser,
Abwasser,ab,Wasser,12.0
Abwasseranalyse,Abwasser,Analyse,
Abwasseranlage,Abwasser,Anlage,17.0
Abwasseranschluss,Abwasser,Anschluss,18.0
Abwasseraufbereitung,Abwasser,Aufbereitung,16.0
Abwasserbehandlung,Abwasser,Behandlung,16.0
Abwasserbehandlungsanlage,Abwasserbehandlung,Anlage,17.0
Abwasserbelastung,Abwasser,Belastung,
Abwasserbeseitigung,Abwasser,Beseitigung,15.0
Abwasserentsorgung,Abwasser,Entsorgung,15.0
Abwassergebühr,Abwasser,Gebühr,19.0
Abwassergraben,Abwasser,Graben,
Abwasserkanal,Abwasser,Kanal,17.0
Abwasserkanalisation,Abwasser,Kanalisation,19.0
Abwasserkosten,Abwasser,Kosten,19.0
Abwasserleitung,Abwasser,Leitung,19.0
Abwasserloch,Abwasser,Loch,
Abwassermenge,Abwasser,Menge,
Abwassernetz,Abwasser,Netz,19.0
Abwasserreinigung,Abwasser,Reinigung,16.0
Abwasserreinigungsanlage,Abwasserreinigung,Anlage,
Abwasserrohr,Abwasser,Rohr,17.0
Abwassersammler,Abwasser,Sammler,
Abwasserschacht,Abwasser,Schacht,
Abwassersystem,Abwasser,System,19.0
Abwassertank,Abwasser,Tank,
Abwassertechnik,Abwasser,Technik,17.0
Abwasseruntersuchung,Abwasser,Untersuchung,
Abwasserverband,Abwasser,Verband,
Abwasserwirtschaft,Abwasser,Wirtschaft,17.0
Abwasserzweckverband,Abwasser,Zweckverband,18.0
Abwechslungsreichtum,Abwechslung,Reichtum,
Abweg,ab,Weg,19.0
Abwehrarbeit,Abwehr,Arbeit,
Abwehrbereich,Abwehr,Bereich,
Abwehrbereitschaft,Abwehr,Bereitschaft,
Abwehrbewegung,Abwehr,Bewegung,
Abwehrbollwerk,abwehren,Bollwerk,19.0
Abwehrchance,Abwehr,Chance,19.0
Abwehrchef,Abwehr,Chef,
Abwehrdienst,Abwehr,Dienst,
Abwehrfehler,Abwehr,Fehler,18.0
Abwehrfeuer,Abwehr,Feuer,
Abwehrfrau,Abwehr,Frau,
Abwehrfront,Abwehr,Front,
Abwehrfunktion,Abwehr,Funktion,19.0
Abwehrhaltung,Abwehr,Haltung,19.0
Abwehrkampf,Abwehr,Kampf,18.0
Abwehrkanone,Abwehr,Kanone,
Abwehrkraft,Abwehr,Kraft,16.0
Abwehrleistung,Abwehr,Leistung,17.0
Abwehrmann,Abwehr,Mann,19.0
Abwehrmauer,Abwehr,Mauer,
Abwehrmaßnahme,Abwehr,Maßnahme,
Abwehrmechanismus,Abwehr,Mechanismus,18.0
Abwehrmittel,Abwehr,Mittel,18.0
Abwehrmöglichkeit,Abwehr,Möglichkeit,
Abwehrposition,Abwehr,Position,19.0
Abwehrrakete,Abwehr,Rakete,
Abwehrreaktion,Abwehr,Reaktion,17.0
Abwehrrecht,Abwehr,Recht,
Abwehrrecke,Abwehr,Recke,
Abwehrreflex,Abwehr,Reflex,19.0
Abwehrreihe,Abwehr,Reihe,16.0
Abwehrriegel,Abwehr,Riegel,
Abwehrschlacht,Abwehr,Schlacht,
Abwehrschnitzer,Abwehr,Schnitzer,
Abwehrschwäche,Abwehr,Schwäche,16.0
Abwehrseite,Abwehr,Seite,17.0
Abwehrspezialist,Abwehr,Spezialist,
Abwehrspieler,Abwehr,Spieler,17.0
Abwehrstellung,Abwehr,Stellung,
Abwehrstoff,Abwehr,Stoff,19.0
Abwehrstrategie,Abwehr,Strategie,
Abwehrsystem,Abwehr,System,15.0
Abwehrtechnik,Abwehr,Technik,
Abwehrverhalten,Abwehr,Verhalten,18.0
Abwehrversuch,Abwehr,Versuch,
Abwehrwaffe,Abwehr,Waffe,
Abwehrzauber,Abwehr,Zauber,
Abwehrzelle,Abwehr,Zelle,19.0
Abwehrzentrum,Abwehr,Zentrum,17.0
Abweichungsanalyse,Abweichung,Analyse,
Abwertungsdruck,Abwertung,Druck,
Abwicklungsanstalt,Abwicklung,Anstalt,
Abwicklungsbank,Abwicklung,Bank,
Abwicklungsbehörde,Abwicklung,Behörde,
Abwicklungsprozess,Abwicklung,Prozess,
Abwind,ab,Wind,
Abwrackwerft,abwracken,Werft,
Abwägungsprozess,Abwägung,Prozess,17.0
Abwärme,ab,Wärme,14.0
Abwärmenutzung,Abwärme,Nutzung,19.0
Abwärtsbewegung,abwärts,Bewegung,17.0
Abwärtsentwicklung,abwärts,Entwicklung,
Abwärtskompatibilität,abwärts,Kompatibilität,19.0
Abwärtssog,abwärts,Sog,
Abwärtsspirale,abwärts,Spirale,16.0
Abwärtsstrudel,abwärts,Strudel,19.0
Abwärtstendenz,abwärts,Tendenz,
Abwärtstrend,abwärts,Trend,16.0
Abziehbild,abziehen,Bild,
Abziehkelle,abziehen,Kelle,
Abziehlatte,abziehen,Latte,
Abziehstein,abziehen,Stein,
Abzugsbetrag,Abzug,Betrag,17.0
Abzugsbügel,Abzug,Bügel,
Abzugsgewicht,Abzug,Gewicht,
Abzugshaube,Abzug,Haube,
Abzugshebel,Abzug,Hebel,
Abzugskanal,Abzug,Kanal,
Abzugsmöglichkeit,Abzug,Möglichkeit,
Abzweigdose,Abzweig,Dose,
Abzweiggleis,Abzweig,Gleis,
Abzweigstelle,Abzweig,Stelle,
Abzählreim,abzählen,Reim,
Abzählvers,abzählen,Vers,
Abänderungsantrag,Abänderung,Antrag,18.0
Acajubaum,Acaju,Baum,
Accountname,Account,Name,
Acerolakirsche,Acerola,Kirsche,19.0
Acetaldehyd,acet,Aldehyd,19.0
Acetylcholinrezeptor,Acetylcholin,Rezeptor,
Achateule,Achat,Eule,
Achensee,Ache,See,
Achillesferse,Achilles,Ferse,17.0
Achillessehne,Achilles,Sehne,17.0
Achillessehnenbeschwerden,Achillessehne,Beschwerden,19.0
Achillessehnenproblem,Achillessehne,Problem,
Achillessehnenriss,Achillessehne,Riss,
Achillessehnenverletzung,Achillessehne,Verletzung,
Achlaut,ach,Laut,
Achsabstand,Achse,Abstand,19.0
Achsantrieb,Achse,Antrieb,
Achsbruch,Achse,Bruch,
Achsdruck,Achse,Druck,
Achselhaar,Achsel,Haar,19.0
Achselhöhle,Achsel,Höhle,16.0
Achselschweiß,Achsel,Schweiß,
Achselzucken,Achsel,Zucken,17.0
Achsenabschnitt,Achse,Abschnitt,
Achsenkreuz,Achse,Kreuz,
Achsenmacht,Achse,Macht,
Achsenstand,Achse,Stand,
Achsensymmetrie,Achse,Symmetrie,18.0
Achsfolge,Achse,Folge,
Achslager,Achse,Lager,
Achslast,Achse,Last,
Achsrichtung,Achse,Richtung,
Achsschenkel,Achse,Schenkel,
Achsschenkellenkung,Achsschenkel,Lenkung,19.0
Achteck,acht,Eck,
Achtelfinale,Achtel,Finale,15.0
Achtelfinalhinspiel,Achtelfinale,Hinspiel,
Achtelfinalrückspiel,Achtelfinale,Rückspiel,
Achtelfinalspiel,Achtelfinale,Spiel,19.0
Achtelnote,Achtel,Note,
Achterbahn,achter,Bahn,15.0
Achterbahnfahrt,Achterbahn,Fahrt,16.0
Achterdeck,achter,Deck,
Achterreihe,achter,Reihe,
Achterschiff,achter,Schiff,
Achtersteven,achter,Steven,
Achtkampf,acht,Kampf,
Achtsamkeitsübung,Achtsamkeit,Übung,18.0
Achtungserfolg,Achtung,Erfolg,18.0
Achtzigerjahre,achtzig,Jahre,18.0
Achtzylinder,acht,Zylinder,
Ackerbau,Acker,Bau,15.0
Ackerbauer,Acker,Bauer,
Ackerbaufläche,Ackerbau,Fläche,
Ackerboden,Acker,Boden,17.0
Ackerbohne,Acker,Bohne,
Ackerbürger,Acker,Bürger,19.0
Ackerbürgerhaus,Ackerbürger,Haus,
Ackerbürgerstadt,Ackerbürger,Stadt,18.0
Ackerfeld,Acker,Feld,
Ackerfläche,Acker,Fläche,16.0
Ackerfrauenmantel,Acker,Frauenmantel,
Ackerfurche,Acker,Furche,
Ackergauchheil,Acker,Gauchheil,
Ackergaul,Acker,Gaul,
Ackergerät,Acker,Gerät,
Ackerglockenblume,Acker,Glockenblume,
Ackergrenze,Acker,Grenze,
Ackerhaftdolde,Acker,Haftdolde,
Ackerhahnenfuß,Acker,Hahnenfuß,
Ackerhellerkraut,Acker,Hellerkraut,
Ackerhohlzahn,Acker,Hohlzahn,
Ackerhornkraut,Acker,Hornkraut,
Ackerklettenkerbel,Acker,Klettenkerbel,
Ackerkohl,Acker,Kohl,
Ackerkrume,Acker,Krume,
Ackerkrummhals,Acker,Krummhals,
Ackerland,Acker,Land,14.0
Ackerlandschaft,Acker,Landschaft,19.0
Ackerlichtnelke,Acker,Lichtnelke,
Ackermann,Acker,Mann,15.0
Ackermeister,Acker,Meister,
Ackerminze,Acker,Minze,
Ackerrettich,Acker,Rettich,
Ackerröte,Acker,Röte,
Ackersalat,Acker,Salat,
Ackerschachtelhalm,Acker,Schachtelhalm,19.0
Ackerschlepper,Acker,Schlepper,19.0
Ackerschmalwand,Acker,Schmalwand,17.0
Ackerscholle,Acker,Scholle,
Ackerschöterich,Acker,Schöterich,
Ackersenf,Acker,Senf,
Ackerspergel,Acker,Spergel,
Ackerspörgel,Acker,Spörgel,
Ackersteinsame,Acker,Steinsame,
Ackerstreifen,Acker,Streifen,
Ackerwalze,Acker,Walze,
Ackerweg,Acker,Weg,
Ackerwildkraut,Acker,Wildkraut,
Ackerwinde,Acker,Winde,19.0
Ackerwitwenblume,Acker,Witwenblume,
Ackerziest,Acker,Ziest,
Acrylamid,Acryl,Amid,15.0
Acrylbild,Acryl,Bild,19.0
Acrylfarbe,Acryl,Farbe,17.0
Acrylglas,Acryl,Glas,16.0
Acrylharz,Acryl,Harz,19.0
Acrylmalerei,Acryl,Malerei,19.0
Acrylnitril,Acryl,Nitril,
Acrylsäure,Acryl,Säure,
Actionfigur,Action,Figur,
Actionfilm,Action,Film,17.0
Actiongenre,Action,Genre,
Actionheld,Action,Held,19.0
Actionkino,Action,Kino,
Actionkomödie,Action,Komödie,
Actionsequenz,Action,Sequenz,
Actionserie,Action,Serie,
Actionspiel,Action,Spiel,16.0
Actionstreifen,Action,Streifen,
Actionszene,Action,Szene,
Actionthriller,Action,Thriller,
Actiontitel,Action,Titel,
Adamsapfel,Adam,Apfel,
Adamskostüm,Adam,Kostüm,
Addiermaschine,addieren,Maschine,
Additionstheorem,Addition,Theorem,
Adduktorenverletzung,Adduktor,Verletzung,
Adduktorenzerrung,Adduktor,Zerrung,
Adelsbezeichnung,Adel,Bezeichnung,
Adelsbrief,Adel,Brief,
Adelsfamilie,Adel,Familie,16.0
Adelsgeschlecht,Adel,Geschlecht,18.0
Adelsgesellschaft,Adel,Gesellschaft,
Adelshaus,Adel,Haus,19.0
Adelsherr,Adel,Herr,
Adelsherrschaft,Adel,Herrschaft,
Adelshof,Adel,Hof,
Adelsklasse,Adel,Klasse,
Adelskreise,Adel,Kreise,
Adelsmatrikel,Adel,Matrikel,
Adelsname,Adel,Name,
Adelsopposition,Adel,Opposition,
Adelspalast,Adel,Palast,
Adelsprivileg,Adel,Privileg,
Adelsprädikat,Adel,Prädikat,
Adelsrang,Adel,Rang,
Adelsrepublik,Adel,Republik,
Adelsschicht,Adel,Schicht,
Adelssitz,Adel,Sitz,19.0
Adelsstand,Adel,Stand,19.0
Adelstitel,Adel,Titel,
Adelsverband,Adel,Verband,
Adelswappen,Adel,Wappen,
Aderbündel,Ader,Bündel,
Aderendhülse,Aderende,Hülse,
Aderhaut,Ader,Haut,
Aderlass,Ader,Lass,18.0
Adernetz,Ader,Netz,
Adernpaar,Ader,Paar,
Adhäsionskraft,Adhäsion,Kraft,
Adinolfels,Adinol,Fels,
Adipinsäure,Adipin,Säure,
Adlerauge,Adler,Auge,
Adlerblick,Adler,Blick,
Adlerfarn,Adler,Farn,
Adlerfarnspinner,Adlerfarn,Spinner,
Adlerfeder,Adler,Feder,
Adlerflügel,Adler,Flügel,
Adlerhorst,Adler,Horst,
Adlerkopf,Adler,Kopf,
Adlernase,Adler,Nase,
Adlernest,Adler,Nest,
Adlerorden,Adler,Orden,
Adlerschießen,Adler,Schießen,19.0
Adlershof,Adler,Hof,16.0
Administrationsrecht,Administration,Recht,
Administrativhaft,administrativ,Haft,
Administratorrecht,Administrator,Recht,
Admiralstab,Admiral,Stab,
Adonislibelle,Adonis,Libelle,
Adonisröschen,Adonis,Röschen,
Adoptionsrecht,Adoption,Recht,17.0
Adoptionsstelle,Adoption,Stelle,17.0
Adoptionsverfahren,Adoption,Verfahren,16.0
Adoptionsvermittlung,Adoption,Vermittlung,17.0
Adoptionsvermittlungsstelle,Adoption,Vermittlungsstelle,15.0
Adoptivbruder,adoptieren,Bruder,
Adoptiveltern,adoptieren,Eltern,15.0
Adoptivfamilie,adoptieren,Familie,17.0
Adoptivkind,adoptieren,Kind,15.0
Adoptivmutter,adoptieren,Mutter,17.0
Adoptivschwester,adoptieren,Schwester,
Adoptivsohn,adoptieren,Sohn,
Adoptivtochter,adoptieren,Tochter,18.0
Adoptivvater,adoptieren,Vater,
Adrenalinausschüttung,Adrenalin,Ausschüttung,
Adrenalinausstoß,Adrenalin,Ausstoß,
Adrenalinpegel,Adrenalin,Pegel,
Adrenalinschub,Adrenalin,Schub,18.0
Adrenalinspiegel,Adrenalin,Spiegel,
Adrenalinstoß,Adrenalin,Stoß,
Adressangabe,Adresse,Angabe,19.0
Adressatenkreis,Adressat,Kreis,16.0
Adressaufkleber,Adresse,Aufkleber,19.0
Adressbereich,Adresse,Bereich,
Adressbuch,Adresse,Buch,13.0
Adressdatei,Adresse,Datei,
Adressdaten,Adresse,Daten,13.0
Adresseintrag,Adresse,Eintrag,
Adressenliste,Adresse,Liste,18.0
Adressfeld,Adresse,Feld,16.0
Adressleiste,Adresse,Leiste,16.0
Adressraum,Adresse,Raum,19.0
Adressteil,Adresse,Teil,
Adressverzeichnis,Adresse,Verzeichnis,19.0
Adresszeile,Adresse,Zeile,15.0
Adressänderung,Adresse,Änderung,15.0
Adriaküste,Adria,Küste,18.0
Adventgemeinde,Advent,Gemeinde,
Adventivwurzel,adventiv,Wurzel,
Adventsabend,Advent,Abend,19.0
Adventsbasar,Advent,Basar,16.0
Adventsfeier,Advent,Feier,19.0
Adventsfest,Advent,Fest,19.0
Adventsgesteck,Advent,Gesteck,
Adventsgottesdienst,Advent,Gottesdienst,
Adventskaffee,Advent,Kaffee,
Adventskalender,Advent,Kalender,13.0
Adventskerze,Advent,Kerze,
Adventskonzert,Advent,Konzert,18.0
Adventskranz,Advent,Kranz,15.0
Adventslied,Advent,Lied,
Adventsmarkt,Advent,Markt,16.0
Adventsmusik,Advent,Musik,
Adventsnachmittag,Advent,Nachmittag,
Adventsprogramm,Advent,Programm,
Adventssamstag,Advent,Samstag,
Adventsschmuck,Advent,Schmuck,
Adventssingen,Advent,Singen,17.0
Adventssonntag,Advent,Sonntag,17.0
Adventsstimmung,Advent,Stimmung,19.0
Adventswoche,Advent,Woche,19.0
Adventswochenende,Advent,Wochenende,16.0
Adventszeit,Advent,Zeit,13.0
Adverbialsatz,adverbial,Satz,
Aerodynamik,aero,Dynamik,17.0
Aeromechanik,aero,Mechanik,
Aerosalon,aero,Salon,
Affektenlehre,Affekt,Lehre,19.0
Affekthandlung,Affekt,Handlung,
Affektkontrolle,Affekt,Kontrolle,
Affekttat,Affekt,Tat,
Affenart,Affe,Art,
Affenbande,Affe,Bande,
Affenhand,Affe,Hand,
Affenhaus,Affe,Haus,19.0
Affenhitze,affen,Hitze,18.0
Affenkopf,Affe,Kopf,19.0
Affenkostüm,Affe,Kostüm,
Affenkäfig,Affe,Käfig,
Affenliebe,Affe,Liebe,
Affenmensch,Affe,Mensch,
Affentanz,Affe,Tanz,
Affentempo,affen,Tempo,
Affentheater,affen,Theater,
Affenversuch,Affe,Versuch,
Affenzirkus,Affe,Zirkus,
Afrikaforscher,Afrika,Forscher,
Afrikameisterschaft,Afrika,Meisterschaft,
Afrikapolitik,Afrika,Politik,
Afrikareise,Afrika,Reise,
Afroamerikaner,afro,Amerikaner,18.0
Afroasiatisch,afro,Asiatisch,
Afrolook,afro,Look,
Afterflosse,After,Flosse,19.0
Agentenaustausch,Agent,Austausch,
Agentenfilm,Agent,Film,
Agententhriller,Agent,Thriller,
Agententätigkeit,Agent,Tätigkeit,19.0
Agenturbericht,Agentur,Bericht,
Agenturchef,Agentur,Chef,
Agenturgruppe,Agentur,Gruppe,18.0
Agenturmeldung,Agentur,Meldung,
Agenturvertrag,Agentur,Vertrag,
Aggregatzustand,Aggregat,Zustand,17.0
Aggressionsabbau,Aggression,Abbau,
Aggressionsbereitschaft,Aggression,Bereitschaft,19.0
Aggressionspolitik,Aggression,Politik,
Aggressionspotenzial,Aggression,Potenzial,19.0
Aggressionstrieb,Aggression,Trieb,
Aggressionsverhalten,Aggression,Verhalten,
Agoraphobie,Agora,Phobie,
Agraralkohol,agrar,Alkohol,
Agrarausschuss,agrar,Ausschuss,18.0
Agrarbereich,agrar,Bereich,17.0
Agrarbericht,agrar,Bericht,17.0
Agrarbetrieb,agrar,Betrieb,19.0
Agrarchemie,agrar,Chemie,
Agrarchemikalie,agrar,Chemikalie,
Agrardiesel,agrar,Diesel,
Agrarentwicklung,agrar,Entwicklung,
Agrarerzeugnis,agrar,Erzeugnis,19.0
Agrarexperte,agrar,Experte,
Agrarexport,agrar,Export,
Agrarfabrik,agrar,Fabrik,
Agrarflugzeug,agrar,Flugzeug,19.0
Agrarfläche,agrar,Fläche,19.0
Agrarfonds,agrar,Fonds,
Agrarforschung,agrar,Forschung,19.0
Agrarfrage,agrar,Frage,
Agrarförderung,agrar,Förderung,17.0
Agrargemeinschaft,agrar,Gemeinschaft,
Agrargenossenschaft,agrar,Genossenschaft,16.0
Agrargeschichte,agrar,Geschichte,
Agrargesellschaft,agrar,Gesellschaft,
Agrargut,agrar,Gut,
Agrarhandel,agrar,Handel,19.0
Agrarhaushalt,agrar,Haushalt,
Agrarindustrie,agrar,Industrie,16.0
Agraringenieur,agrar,Ingenieur,
Agrarkommissar,agrar,Kommissar,
Agrarkonzern,agrar,Konzern,
Agrarkrise,agrar,Krise,
Agrarkultur,agrar,Kultur,
Agrarland,agrar,Land,17.0
Agrarlandschaft,agrar,Landschaft,14.0
Agrarlobby,agrar,Lobby,
Agrarmarkt,agrar,Markt,19.0
Agrarmarktordnung,Agrarmarkt,Ordnung,
Agrarmesse,agrar,Messe,
Agrarminister,agrar,Minister,17.0
Agrarministerium,agrar,Ministerium,19.0
Agrarministerkonferenz,Agrarminister,Konferenz,17.0
Agrarpartei,agrar,Partei,
Agrarpolitik,agrar,Politik,14.0
Agrarpolitiker,agrar,Politiker,
Agrarpreis,agrar,Preis,
Agrarprodukt,agrar,Produkt,19.0
Agrarproduktion,agrar,Produktion,19.0
Agrarrat,agrar,Rat,19.0
Agrarreform,agrar,Reform,
Agrarressort,agrar,Ressort,
Agrarrevolution,agrar,Revolution,
Agrarrohstoff,agrar,Rohstoff,
Agrarsektor,agrar,Sektor,17.0
Agrarsoziologie,agrar,Soziologie,
Agrarstaat,agrar,Staat,
Agrarstruktur,agrar,Struktur,14.0
Agrarsubvention,agrar,Subvention,
Agrartechnik,agrar,Technik,16.0
Agrarunternehmen,agrar,Unternehmen,17.0
Agrarwirtschaft,agrar,Wirtschaft,14.0
Agrarwissenschaft,agrar,Wissenschaft,18.0
Agrarökonom,agrar,Ökonom,
Agrarökonomie,agrar,Ökonomie,17.0
Agrikultur,agri,Kultur,
Agrikulturchemie,Agrikultur,Chemie,
Agrikulturchemiker,Agrikultur,Chemiker,
Agrikulturingenieur,Agrikultur,Ingenieur,
Agrochemie,agro,Chemie,
